Year,Wind Energy Produced (MW)
1993,215.267493275973
1994,283.9297957943433
1995,106.03313045345021
1996,289.8075211916307
1997,65.77470975743314
1998,291.2350011565826
1999,288.09743800602223
2000,211.47443020692424
2001,171.86789336999715
2002,202.23751761626343
2003,121.28102682505083
2004,250.85414525940513
2005,197.91220053589728
2006,246.8630777781287
2007,155.93159973775107
2008,100.38320282842403
2009,294.85220047093895
2010,259.8543796622456
2011,211.7884466260362
2012,279.4329803914238
2013,217.0201991244543
2014,223.23697405528026
2015,279.67076605505815
2016,72.44326214120912
2017,204.6826376981647
2018,93.6001581898183
2019,180.30205329204847
2020,155.87579342777008
2021,133.0796703646989
2022,211.41676308919182
2023,97.98140984463073
